Data_set,Layer_size,Activation,CV,Stopping,Solver,Accuracy,F-score
wine.data,"(24,)",logistic,4,True,sgd,0.2864341085271318,0.14820574162679429
wine.data,"(24,)",logistic,6,True,sgd,0.3142857142857143,0.15919428200129954
wine.data,"(24,)",logistic,8,True,sgd,0.3087121212121212,0.1567039600879284
wine.data,"(24,)",logistic,2,False,adam,0.8015151515151515,0.736988620663725
wine.data,"(24,)",logistic,4,False,adam,0.8320413436692506,0.8006650417721596
wine.data,"(24,)",logistic,6,False,adam,0.8753968253968254,0.8650401630695076
wine.data,"(24,)",logistic,8,False,adam,0.8551900997553171,0.8181618039707957
wine.data,"(24,)",logistic,2,False,sgd,0.39886363636363636,0.19008904374758034
wine.data,"(24,)",logistic,4,False,sgd,0.39883720930232563,0.1900793650793651
wine.data,"(24,)",logistic,6,False,sgd,0.3988095238095238,0.19006919006919007
wine.data,"(24,)",logistic,8,False,sgd,0.3989036325992848,0.19007519929551356
wine.data,"(27,)",logistic,2,True,adam,0.33636363636363636,0.16666666666666669
wine.data,"(27,)",logistic,4,True,adam,0.33139534883720934,0.1653091060985798
wine.data,"(27,)",logistic,6,True,adam,0.32539682539682535,0.16316253596955352
wine.data,"(27,)",logistic,8,True,adam,0.32007575757575757,0.16078256594628954
wine.data,"(27,)",logistic,2,True,sgd,0.303030303030303,0.15476190476190477
wine.data,"(27,)",logistic,4,True,sgd,0.3321705426356589,0.1650167084377611
wine.data,"(27,)",logistic,6,True,sgd,0.30317460317460315,0.15480831708901885
wine.data,"(27,)",logistic,8,True,sgd,0.342285431959345,0.1779887889836444
wine.data,"(27,)",logistic,2,False,adam,0.8320707070707071,0.8259369982341171
wine.data,"(27,)",logistic,4,False,adam,0.8103359173126614,0.7746169985164257
wine.data,"(27,)",logistic,6,False,adam,0.8626984126984127,0.8420414878602013
wine.data,"(27,)",logistic,8,False,adam,0.8934570863918689,0.8827704996242148
wine.data,"(27,)",logistic,2,False,sgd,0.39886363636363636,0.19008904374758034
wine.data,"(27,)",logistic,4,False,sgd,0.39883720930232563,0.1900793650793651
wine.data,"(27,)",logistic,6,False,sgd,0.3988095238095238,0.19006919006919007
wine.data,"(27,)",logistic,8,False,sgd,0.3989036325992848,0.19007519929551356
wine.data,"(3,)",tanh,2,True,adam,0.4092171717171717,0.27027819674878495
wine.data,"(3,)",tanh,4,True,adam,0.30439276485788114,0.18989833074443813
wine.data,"(3,)",tanh,6,True,adam,0.39444444444444443,0.26547262334989996
wine.data,"(3,)",tanh,8,True,adam,0.3485083756822887,0.21642069616207546
wine.data,"(3,)",tanh,2,True,sgd,0.365530303030303,0.18413666279519939
